,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.005,-1.47E-09,-1.09E-05,-6.68E-05,-0.000173873,-0.000343702,-0.000595743,-0.000961979,-0.00149817,-0.00231641,-0.0037103,1.09E-05,3.52E-07,-5.41E-05,-0.000158356,-0.0003234,-0.000567624,-0.00092038,-0.00143006,-0.00218206,-0.00332883,6.43E-05,5.50E-05,7.53E-06,-8.30E-05,-0.00022531,-0.000433304,-0.000726312,-0.00112863,-0.00166058,-0.00229218,0.000154524,0.000147533,0.0001117,4.37E-05,-6.23E-05,-0.000214651,-0.000422842,-0.000693067,-0.00101588,-0.00133841,0.000272714,0.000268626,0.000247697,0.000208149,0.000146924,6.01E-05,-5.56E-05,-0.000199794,-0.000360969,-0.000507522,0.000407246,0.000406415,0.000402162,0.000394136,0.000381747,0.000364288,0.000341255,0.000313088,0.000282453,0.000255578,0.000545109,0.000547607,0.000560379,0.000584473,0.000621662,0.000674129,0.000743542,0.000828893,0.000922528,0.0010056,0.000673011,0.000678627,0.000707377,0.000761779,0.000846251,0.000966715,0.00112907,0.00133493,0.00157165,0.00179536,0.000778509,0.000786744,0.000828971,0.000909218,0.00103488,0.00121695,0.00146946,0.00180619,0.00222781,0.00268193,0.000851158,0.000861234,0.000912976,0.00101169,0.00116752,0.00139681,0.00172435,0.00218683,0.0028344,0.00370034
2,0.01,1.23E-09,-1.08E-05,-6.66E-05,-0.000173286,-0.00034249,-0.000593604,-0.000958511,-0.0014928,-0.00230833,-0.00369849,1.08E-05,2.84E-07,-5.40E-05,-0.000157891,-0.000322345,-0.000565699,-0.000917221,-0.00142517,-0.00217479,-0.00331845,6.38E-05,5.46E-05,7.29E-06,-8.29E-05,-0.000224773,-0.000432075,-0.00072413,-0.0011252,-0.00165562,-0.00228585,0.00015362,0.000146669,0.000110962,4.32E-05,-6.25E-05,-0.000214398,-0.000421983,-0.000691475,-0.00101354,-0.00133561,0.000271296,0.000267228,0.000246361,0.00020691,0.000145832,5.92E-05,-5.63E-05,-0.000200167,-0.000361136,-0.000507664,0.000405279,0.000404447,0.000400181,0.000392128,0.000379702,0.000362187,0.000339071,0.000310766,0.000279912,0.000252727,0.000542599,0.000545073,0.000557756,0.000581701,0.000618673,0.000670843,0.000739861,0.000824701,0.000917712,0.0010001,0.000670001,0.000675571,0.000704161,0.000758303,0.000842398,0.000962346,0.00112402,0.00132901,0.00156466,0.00178719,0.000775075,0.000783246,0.000825256,0.000905147,0.0010303,0.00121167,0.00146325,0.00179878,0.00221886,0.00267111,0.000847406,0.000857405,0.000908885,0.00100717,0.00116239,0.00139084,0.00171728,0.00217831,0.00282399,0.00368731
3,0.015,8.63E-10,-1.07E-05,-6.62E-05,-0.000172487,-0.000341009,-0.000591135,-0.000954623,-0.00148685,-0.00229931,-0.00368517,1.07E-05,2.76E-07,-5.38E-05,-0.000157211,-0.000321021,-0.000563449,-0.00091366,-0.00141976,-0.00216675,-0.00330703,6.35E-05,5.43E-05,7.22E-06,-8.26E-05,-0.000223966,-0.000430542,-0.000721618,-0.00112142,-0.00165039,-0.0022796,0.000152905,0.000146,0.000110447,4.29E-05,-6.24E-05,-0.000213852,-0.000420857,-0.000689701,-0.00101123,-0.00133331,0.000270135,0.000266092,0.000245305,0.000205975,0.000145058,5.87E-05,-5.67E-05,-0.00020041,-0.000361417,-0.000508314,0.000403635,0.000402806,0.000398542,0.000390483,0.000378031,0.000360452,0.000337195,0.000308621,0.000277312,0.000249477,0.000540475,0.000542929,0.00055554,0.00057936,0.000616138,0.000668014,0.000736597,0.000820813,0.000912973,0.000994317,0.000667435,0.000672964,0.000701417,0.000755331,0.000839087,0.000958551,0.00111955,0.00132359,0.00155798,0.00177889,0.000772134,0.000780249,0.000822067,0.000901649,0.00102635,0.00120709,0.00145781,0.00179216,0.00221058,0.00266048,0.000844182,0.000854112,0.000905361,0.00100328,0.00115797,0.00138568,0.00171115,0.0021709,0.00281483,0.0036753
4,0.02,1.07E-09,-1.07E-05,-6.59E-05,-0.000171661,-0.000339477,-0.000588571,-0.000950557,-0.00148056,-0.00228958,-0.0036706,1.07E-05,2.73E-07,-5.35E-05,-0.000156505,-0.000319651,-0.000561117,-0.000909947,-0.00141406,-0.00215819,-0.00329481,6.31E-05,5.40E-05,7.16E-06,-8.23E-05,-0.00022314,-0.000428981,-0.000719066,-0.0011176,-0.00164516,-0.00227373,0.000152189,0.00014533,0.000109929,4.27E-05,-6.23E-05,-0.000213347,-0.000419817,-0.000688114,-0.00100933,-0.0013319,0.000268969,0.000264951,0.000244239,0.000205017,0.000144236,5.80E-05,-5.72E-05,-0.000200988,-0.000362297,-0.000509969,0.000401987,0.000401159,0.00039689,0.00038881,0.000376303,0.000358602,0.000335101,0.000306086,0.000274054,0.000245211,0.000538352,0.000540785,0.000553317,0.000577,0.000613555,0.000665084,0.000733136,0.00081656,0.000907603,0.000987531,0.000664879,0.000670368,0.00069868,0.00075236,0.000835761,0.000954706,0.00111495,0.00131792,0.00155078,0.00176964,0.000769216,0.000777274,0.000818902,0.000898177,0.00102243,0.00120253,0.00145238,0.00178549,0.00220208,0.00264911,0.00084099,0.000850852,0.000901877,0.000999438,0.00115361,0.00138063,0.00170517,0.00216373,0.00280598,0.00366333
5,0.025,1.31E-09,-1.06E-05,-6.55E-05,-0.000170822,-0.000337913,-0.000585936,-0.00094634,-0.00147395,-0.00227919,-0.00365479,1.06E-05,2.69E-07,-5.33E-05,-0.000155791,-0.000318256,-0.000558726,-0.00090611,-0.0014081,-0.00214915,-0.00328181,6.28E-05,5.38E-05,7.10E-06,-8.20E-05,-0.000222317,-0.000427415,-0.000716497,-0.00111376,-0.00163998,-0.00226826,0.000151458,0.000144645,0.000109393,4.24E-05,-6.23E-05,-0.000212904,-0.000418888,-0.000686739,-0.00100786,-0.0013314,0.000267782,0.000263788,0.000243144,0.000204017,0.000143347,5.72E-05,-5.80E-05,-0.000201924,-0.000363797,-0.000512646,0.000400316,0.000399488,0.000395207,0.000387088,0.000374492,0.00035661,0.000332763,0.000303133,0.000270114,0.000239906,0.000536209,0.00053862,0.000551068,0.000574597,0.000610899,0.000662027,0.000729449,0.000811912,0.00090157,0.00097971,0.000662312,0.00066776,0.000695927,0.000749364,0.000832392,0.000950782,0.00111021,0.00131196,0.00154304,0.00175941,0.000766296,0.000774299,0.000815737,0.000894705,0.0010185,0.00119797,0.00144692,0.00177874,0.00219332,0.00263698,0.000837807,0.000847603,0.000898407,0.000995619,0.00114929,0.00137564,0.00169932,0.00215676,0.0027974,0.00365133
6,0.03,7.24E-10,-1.05E-05,-6.52E-05,-0.000169972,-0.000336318,-0.000583231,-0.000941971,-0.00146702,-0.00226813,-0.00363771,1.05E-05,2.62E-07,-5.30E-05,-0.000155069,-0.000316836,-0.000556276,-0.000902147,-0.00140189,-0.00213962,-0.00326802,6.24E-05,5.35E-05,7.03E-06,-8.17E-05,-0.000221496,-0.000425844,-0.000713912,-0.00110989,-0.00163482,-0.00226315,0.00015071,0.000143943,0.000108837,4.20E-05,-6.23E-05,-0.000212525,-0.000418069,-0.000685571,-0.00100681,-0.00133177,0.000266573,0.0002626,0.000242018,0.000202972,0.000142386,5.63E-05,-5.90E-05,-0.000203218,-0.000365911,-0.000516337,0.000398619,0.000397789,0.000393488,0.000385314,0.000372597,0.000354474,0.000330178,0.000299762,0.000265494,0.00023357,0.000534043,0.000536431,0.000548786,0.000572146,0.000608166,0.000658837,0.000725532,0.000806867,0.000894876,0.00097086,0.000659729,0.000665135,0.000693154,0.000746338,0.000828974,0.000946772,0.00110531,0.00130571,0.00153475,0.00174818,0.000763371,0.000771317,0.000812567,0.000891228,0.00101457,0.0011934,0.00144144,0.0017719,0.00218429,0.00262405,0.000834626,0.000844357,0.000894945,0.000991815,0.00114501,0.00137072,0.00169358,0.00214998,0.00278907,0.00363926
7,0.035,8.62E-10,-1.04E-05,-6.48E-05,-0.000169101,-0.00033468,-0.000580439,-0.000937432,-0.00145975,-0.00225638,-0.00361932,1.04E-05,2.58E-07,-5.27E-05,-0.000154328,-0.000315378,-0.000553751,-0.000898038,-0.00139541,-0.00212957,-0.00325339,6.20E-05,5.32E-05,6.95E-06,-8.14E-05,-0.000220665,-0.000424251,-0.000711289,-0.00110598,-0.00162967,-0.00225837,0.000149953,0.00014323,0.000108268,4.17E-05,-6.24E-05,-0.000212192,-0.00041734,-0.000684586,-0.00100615,-0.00133299,0.000265347,0.000261395,0.000240869,0.000201892,0.000141367,5.53E-05,-6.01E-05,-0.000204844,-0.00036861,-0.000521006,0.000396903,0.00039607,0.000391742,0.000383496,0.000370628,0.000352209,0.000327364,0.000295995,0.000260219,0.00022623,0.000531861,0.000534224,0.000546481,0.000569657,0.000605367,0.000655527,0.000721399,0.000801441,0.00088754,0.000961001,0.000657137,0.000662501,0.000690367,0.00074329,0.000825516,0.000942688,0.00110027,0.00129918,0.00152592,0.00173599,0.000760446,0.000768337,0.000809398,0.000887751,0.00101064,0.00118882,0.00143592,0.00176497,0.00217497,0.00261034,0.000831455,0.00084112,0.000891496,0.000988035,0.00114076,0.00136586,0.00168795,0.00214338,0.00278097,0.0036271
8,0.04,1.02E-09,-1.03E-05,-6.44E-05,-0.000168216,-0.000333006,-0.000577569,-0.000932731,-0.00145215,-0.00224394,-0.0035996,1.03E-05,2.52E-07,-5.24E-05,-0.000153577,-0.000313891,-0.00055116,-0.000893793,-0.00138865,-0.002119,-0.00323789,6.17E-05,5.29E-05,6.87E-06,-8.11E-05,-0.000219831,-0.000422645,-0.000708637,-0.00110202,-0.0016245,-0.00225389,0.000149179,0.0001425,0.000107679,4.13E-05,-6.25E-05,-0.000211917,-0.000416709,-0.000683789,-0.00100587,-0.00133504,0.000264096,0.000260164,0.000239689,0.000200768,0.000140278,5.41E-05,-6.15E-05,-0.000206813,-0.0003719,-0.000526658,0.000395157,0.000394321,0.000389957,0.000381623,0.000368573,0.0003498,0.000324306,0.000291818,0.000254277,0.000217879,0.000529649,0.000531987,0.000544139,0.000567116,0.000602485,0.000652081,0.000717032,0.000795616,0.000879543,0.000950122,0.000654522,0.000659843,0.000687553,0.000740204,0.000822001,0.000938509,0.00109506,0.00129235,0.00151653,0.00172279,0.000757507,0.000765342,0.000806214,0.000884259,0.00100669,0.00118421,0.00143036,0.00175793,0.00216535,0.00259579,0.000828277,0.000837879,0.000888046,0.000984259,0.00113653,0.00136104,0.0016824,0.00213694,0.00277307,0.00361476
9,0.045,1.18E-09,-1.03E-05,-6.40E-05,-0.000167313,-0.000331292,-0.000574613,-0.000927859,-0.0014442,-0.0022308,-0.00357851,1.03E-05,2.46E-07,-5.22E-05,-0.000152811,-0.000312369,-0.000548495,-0.000889402,-0.00138161,-0.0021079,-0.00322148,6.13E-05,5.26E-05,6.79E-06,-8.09E-05,-0.000218992,-0.00042102,-0.000705946,-0.00109801,-0.00161932,-0.00224966,0.000148388,0.000141753,0.000107071,4.09E-05,-6.26E-05,-0.000211692,-0.000416168,-0.000683168,-0.00100597,-0.00133789,0.00026282,0.000258907,0.000238477,0.0001996,0.000139123,5.29E-05,-6.30E-05,-0.000209114,-0.000375767,-0.000533276,0.000393382,0.00039254,0.000388135,0.000379697,0.000366433,0.000347251,0.000321009,0.000287236,0.000247676,0.000208525,0.000527409,0.000529719,0.000541759,0.000564522,0.000599521,0.000648499,0.000712432,0.000789393,0.000870888,0.000938222,0.000651882,0.000657159,0.000684709,0.000737079,0.000818428,0.000934233,0.00108968,0.0012852,0.00150657,0.00170858,0.000754551,0.00076233,0.000803012,0.000880748,0.00100272,0.00117958,0.00142475,0.00175077,0.00215541,0.00258038,0.00082509,0.000834628,0.00088459,0.000980484,0.00113232,0.00135626,0.00167694,0.00213063,0.00276535,0.0036022
10,0.05,1.35E-09,-1.02E-05,-6.36E-05,-0.000166392,-0.000329534,-0.000571568,-0.000922809,-0.00143591,-0.00221693,-0.00355599,1.02E-05,2.40E-07,-5.19E-05,-0.00015203,-0.000310809,-0.000545753,-0.000884858,-0.00137427,-0.00209625,-0.00320411,6.09E-05,5.22E-05,6.69E-06,-8.06E-05,-0.000218144,-0.000419371,-0.000703209,-0.00109393,-0.00161407,-0.00224564,0.000147581,0.000140988,0.000106443,4.05E-05,-6.27E-05,-0.000211514,-0.000415711,-0.00068271,-0.00100642,-0.00134151,0.000261517,0.000257622,0.000237232,0.000198387,0.000137901,5.15E-05,-6.47E-05,-0.000211741,-0.000380199,-0.000540838,0.000391573,0.000390725,0.00038627,0.000377712,0.000364205,0.000344558,0.000317472,0.000282251,0.00024042,0.000198178,0.000525134,0.000527416,0.000539337,0.00056187,0.00059647,0.000644774,0.000707593,0.000782766,0.00086157,0.000925308,0.000649211,0.000654444,0.000681829,0.000733908,0.000814787,0.000929852,0.00108412,0.00127774,0.00149602,0.00169336,0.000751571,0.000759294,0.000799786,0.00087721,0.000998719,0.0011749,0.00141906,0.00174346,0.00214512,0.00256408,0.000821885,0.00083136,0.00088112,0.000976701,0.0011281,0.00135151,0.00167154,0.00212445,0.00275778,0.00358934
